2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:15:49 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:51 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:53 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:54 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:56 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:58 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:16:00 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:16:00 MinePhase: Found new vein at [1135, 713]
2026-07-17 10:16:00 MinePhase: Initial click to walk to vein at [1135, 713] (vein at [1135, 713])
2026-07-17 10:16:02 MinePhase: Clicked stable vein at [1229, 713] (vein at [1229, 713])
2026-07-17 10:16:04 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:05 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:07 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:09 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:11 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:12 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:14 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:16 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:17 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:19 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:21 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:16:22 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
